,company,industry,symbol,category,market_cap,book_value,ROE,ROCE,net_profit_margin_inc,current_ratio,price_to_book,debt_to_equity,EPS,revenue_inc,cash_flow_inc,promoter_holding_change,inst_holding_change,div_yield,price_to_earning,return,sign
482,UCO Bank,FINANCIAL SERVICES,UCOBANK,Nifty Smallcap 250,7277,,,,,,,,,,,,,,,,0
483,UFLEX Ltd.,INDUSTRIAL MANUFACTURING,UFLEX,Nifty Smallcap 250,2184,,,,,,,,,,,,,,,,0
484,Ujjivan Financial Services Ltd.,FINANCIAL SERVICES,UJJIVAN,Nifty Smallcap 250,2624,,,,,,,,,,,,,,,,0
485,Unichem Laboratories Ltd.,PHARMA,UNICHEMLAB,Nifty Smallcap 250,1522,,,,,,,,,,,,,,,,0
486,V-Mart Retail Ltd.,CONSUMER GOODS,VMART,Nifty Smallcap 250,5039,,,,,,,,,,,,,,,,0
487,V.I.P. Industries Ltd.,CONSUMER GOODS,VIPIND,Nifty Smallcap 250,6649,,,,,,,,,,,,,,,,0
488,VRL Logistics Ltd.,SERVICES,VRLLOG,Nifty Smallcap 250,2473,,,,,,,,,,,,,,,,0
489,Va Tech Wabag Ltd.,SERVICES,WABAG,Nifty Smallcap 250,1500,,,,,,,,,,,,,,,,0
490,Vardhman Textiles Ltd.,TEXTILES,VTL,Nifty Smallcap 250,6037,,,,,,,,,,,,,,,,0
491,Venky's (India) Ltd.,CONSUMER GOODS,VENKEYS,Nifty Smallcap 250,3977,,,,,,,,,,,,,,,,0
492,Vijaya Bank,FINANCIAL SERVICES,VIJAYABANK,Nifty Smallcap 250,5634,,,,,,,,,,,,,,,,0
493,Vinati Organics Ltd.,CHEMICALS,VINATIORGA,Nifty Smallcap 250,7706,,,,,,,,,,,,,,,,0
494,Welspun Corp Ltd.,METALS,WELCORP,Nifty Smallcap 250,3712,,,,,,,,,,,,,,,,0
495,Welspun India Ltd.,TEXTILES,WELSPUNIND,Nifty Smallcap 250,6114,,,,,,,,,,,,,,,,0
496,Wockhardt Ltd.,PHARMA,WOCKPHARMA,Nifty Smallcap 250,5658,,,,,,,,,,,,,,,,0
497,Zensar Technolgies Ltd.,IT,ZENSARTECH,Nifty Smallcap 250,5828,,,,,,,,,,,,,,,,0
498,Zydus Wellness Ltd.,CONSUMER GOODS,ZYDUSWELL,Nifty Smallcap 250,4611,,,,,,,,,,,,,,,,0
499,eClerx Services Ltd.,IT,ECLERX,Nifty Smallcap 250,4147,,,,,,,,,,,,,,,,0
